,gcp_file,id,url,annotation_output,gcp_output
f40,bnf_verniquet/f40.jpg.points,bnf_verniquet_38,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f40,output/bnf_verniquet/f40.json,
f41,bnf_verniquet/f41.jpg.points,bnf_verniquet_39,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f41,output/bnf_verniquet/f41.json,
f42,bnf_verniquet/f42.jpg.points,bnf_verniquet_40,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f42,output/bnf_verniquet/f42.json,
f43,bnf_verniquet/f43.jpg.points,bnf_verniquet_41,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f43,output/bnf_verniquet/f43.json,
f44,bnf_verniquet/f44.jpg.points,bnf_verniquet_42,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f44,output/bnf_verniquet/f44.json,
f45,bnf_verniquet/f45.jpg.points,bnf_verniquet_43,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f45,output/bnf_verniquet/f45.json,
f46,bnf_verniquet/f46.jpg.points,bnf_verniquet_44,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f46,output/bnf_verniquet/f46.json,
f47,bnf_verniquet/f47.jpg.points,bnf_verniquet_45,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f47,output/bnf_verniquet/f47.json,
f48,bnf_verniquet/f48.jpg.points,bnf_verniquet_46,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f48,output/bnf_verniquet/f48.json,
f49,bnf_verniquet/f49.jpg.points,bnf_verniquet_47,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f49,output/bnf_verniquet/f49.json,
f50,bnf_verniquet/f50.jpg.points,bnf_verniquet_48,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f50,output/bnf_verniquet/f50.json,
f51,bnf_verniquet/f51.jpg.points,bnf_verniquet_49,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f51,output/bnf_verniquet/f51.json,
f52,bnf_verniquet/f52.jpg.points,bnf_verniquet_50,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f52,output/bnf_verniquet/f52.json,
f53,bnf_verniquet/f53.jpg.points,bnf_verniquet_51,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f53,output/bnf_verniquet/f53.json,
f54,bnf_verniquet/f54.jpg.points,bnf_verniquet_52,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f54,output/bnf_verniquet/f54.json,
f55,bnf_verniquet/f55.jpg.points,bnf_verniquet_53,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f55,output/bnf_verniquet/f55.json,
f56,bnf_verniquet/f56.jpg.points,bnf_verniquet_54,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f56,output/bnf_verniquet/f56.json,
f57,bnf_verniquet/f57.jpg.points,bnf_verniquet_55,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f57,output/bnf_verniquet/f57.json,
f58,bnf_verniquet/f58.jpg.points,bnf_verniquet_56,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f58,output/bnf_verniquet/f58.json,
f59,bnf_verniquet/f59.jpg.points,bnf_verniquet_57,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f59,output/bnf_verniquet/f59.json,
f60,bnf_verniquet/f60.jpg.points,bnf_verniquet_58,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f60,output/bnf_verniquet/f60.json,
f61,bnf_verniquet/f61.jpg.points,bnf_verniquet_59,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f61,output/bnf_verniquet/f61.json,
f62,bnf_verniquet/f62.jpg.points,bnf_verniquet_60,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f62,output/bnf_verniquet/f62.json,
f63,bnf_verniquet/f63.jpg.points,bnf_verniquet_61,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f63,output/bnf_verniquet/f63.json,
f64,bnf_verniquet/f64.jpg.points,bnf_verniquet_62,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f64,output/bnf_verniquet/f64.json,
f65,bnf_verniquet/f65.jpg.points,bnf_verniquet_63,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f65,output/bnf_verniquet/f65.json,
f66,bnf_verniquet/f66.jpg.points,bnf_verniquet_64,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f66,output/bnf_verniquet/f66.json,
f67,bnf_verniquet/f67.jpg.points,bnf_verniquet_65,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f67,output/bnf_verniquet/f67.json,
f68,bnf_verniquet/f68.jpg.points,bnf_verniquet_66,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f68,output/bnf_verniquet/f68.json,
f69,bnf_verniquet/f69.jpg.points,bnf_verniquet_67,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f69,output/bnf_verniquet/f69.json,
f70,bnf_verniquet/f70.jpg.points,bnf_verniquet_68,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f70,output/bnf_verniquet/f70.json,
f71,bnf_verniquet/f71.jpg.points,bnf_verniquet_69,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f71,output/bnf_verniquet/f71.json,
f72,bnf_verniquet/f72.jpg.points,bnf_verniquet_70,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f72,output/bnf_verniquet/f72.json,
f73,bnf_verniquet/f73.jpg.points,bnf_verniquet_71,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f73,output/bnf_verniquet/f73.json,
f74,bnf_verniquet/f74.jpg.points,bnf_verniquet_72,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f74,output/bnf_verniquet/f74.json,
