"sheet_number","ignore",,"gcp_file","id","source","url","annotation_output","gcp_output"
1075,,"FRAD094_3P_001075","FRAD094_3P/FRAD094_3P_001075.jpg.points","FRAD094_3P_001075","FRAD094_3P_001075.jpg","https://iiif.geohistoricaldata.org/iiif/3/FRAD094_3P_001075.jpg","output/FRAD094_3P/FRAD094_3P_001075.json",
1076,,"FRAD094_3P_001076","FRAD094_3P/FRAD094_3P_001076.jpg.points","FRAD094_3P_001076","FRAD094_3P_001076.jpg","https://iiif.geohistoricaldata.org/iiif/3/FRAD094_3P_001076.jpg","output/FRAD094_3P/FRAD094_3P_001076.json",
