,,gcp_file,id,url,annotation_output,gcp_output
10110029,RUMSEY~8~1~305655~90076010,rumsey_verniquet/10110029.jp2.points,rumsey_verniquet_28,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305655~90076010,output/rumsey_verniquet/10110029.json,
10110030,RUMSEY~8~1~305656~90076009,rumsey_verniquet/10110030.jp2.points,rumsey_verniquet_29,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305656~90076009,output/rumsey_verniquet/10110030.json,
10110031,RUMSEY~8~1~305657~90076008,rumsey_verniquet/10110031.jp2.points,rumsey_verniquet_30,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305657~90076008,output/rumsey_verniquet/10110031.json,
10110032,RUMSEY~8~1~305658~90076007,rumsey_verniquet/10110032.jp2.points,rumsey_verniquet_31,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305658~90076007,output/rumsey_verniquet/10110032.json,
10110033,RUMSEY~8~1~305659~90076006,rumsey_verniquet/10110033.jp2.points,rumsey_verniquet_32,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305659~90076006,output/rumsey_verniquet/10110033.json,
10110034,RUMSEY~8~1~305660~90076005,rumsey_verniquet/10110034.jp2.points,rumsey_verniquet_33,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305660~90076005,output/rumsey_verniquet/10110034.json,
10110035,RUMSEY~8~1~305661~90076004,rumsey_verniquet/10110035.jp2.points,rumsey_verniquet_34,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305661~90076004,output/rumsey_verniquet/10110035.json,
10110036,RUMSEY~8~1~305662~90076003,rumsey_verniquet/10110036.jp2.points,rumsey_verniquet_35,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305662~90076003,output/rumsey_verniquet/10110036.json,
10110037,RUMSEY~8~1~305663~90076002,rumsey_verniquet/10110037.jp2.points,rumsey_verniquet_36,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305663~90076002,output/rumsey_verniquet/10110037.json,
10110038,RUMSEY~8~1~305664~90076074,rumsey_verniquet/10110038.jp2.points,rumsey_verniquet_37,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305664~90076074,output/rumsey_verniquet/10110038.json,
10110039,RUMSEY~8~1~305665~90076073,rumsey_verniquet/10110039.jp2.points,rumsey_verniquet_38,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305665~90076073,output/rumsey_verniquet/10110039.json,
10110040,RUMSEY~8~1~305666~90076072,rumsey_verniquet/10110040.jp2.points,rumsey_verniquet_39,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305666~90076072,output/rumsey_verniquet/10110040.json,
10110041,RUMSEY~8~1~305667~90076071,rumsey_verniquet/10110041.jp2.points,rumsey_verniquet_40,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305667~90076071,output/rumsey_verniquet/10110041.json,
10110042,RUMSEY~8~1~305668~90076070,rumsey_verniquet/10110042.jp2.points,rumsey_verniquet_41,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305668~90076070,output/rumsey_verniquet/10110042.json,
10110043,RUMSEY~8~1~305669~90076069,rumsey_verniquet/10110043.jp2.points,rumsey_verniquet_42,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305669~90076069,output/rumsey_verniquet/10110043.json,
10110044,RUMSEY~8~1~305670~90076068,rumsey_verniquet/10110044.jp2.points,rumsey_verniquet_43,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305670~90076068,output/rumsey_verniquet/10110044.json,
10110045,RUMSEY~8~1~305671~90076067,rumsey_verniquet/10110045.jp2.points,rumsey_verniquet_44,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305671~90076067,output/rumsey_verniquet/10110045.json,
10110046,RUMSEY~8~1~305672~90076066,rumsey_verniquet/10110046.jp2.points,rumsey_verniquet_45,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305672~90076066,output/rumsey_verniquet/10110046.json,
10110047,RUMSEY~8~1~305673~90076065,rumsey_verniquet/10110047.jp2.points,rumsey_verniquet_46,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305673~90076065,output/rumsey_verniquet/10110047.json,
10110048,RUMSEY~8~1~305674~90076064,rumsey_verniquet/10110048.jp2.points,rumsey_verniquet_47,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305674~90076064,output/rumsey_verniquet/10110048.json,
10110049,RUMSEY~8~1~305675~90076063,rumsey_verniquet/10110049.jp2.points,rumsey_verniquet_48,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305675~90076063,output/rumsey_verniquet/10110049.json,
10110050,RUMSEY~8~1~305676~90076062,rumsey_verniquet/10110050.jp2.points,rumsey_verniquet_49,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305676~90076062,output/rumsey_verniquet/10110050.json,
10110051,RUMSEY~8~1~305677~90076061,rumsey_verniquet/10110051.jp2.points,rumsey_verniquet_50,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305677~90076061,output/rumsey_verniquet/10110051.json,
10110052,RUMSEY~8~1~305678~90076060,rumsey_verniquet/10110052.jp2.points,rumsey_verniquet_51,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305678~90076060,output/rumsey_verniquet/10110052.json,
10110053,RUMSEY~8~1~305679~90076059,rumsey_verniquet/10110053.jp2.points,rumsey_verniquet_52,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305679~90076059,output/rumsey_verniquet/10110053.json,
10110054,RUMSEY~8~1~305680~90076058,rumsey_verniquet/10110054.jp2.points,rumsey_verniquet_53,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305680~90076058,output/rumsey_verniquet/10110054.json,
10110055,RUMSEY~8~1~305681~90076057,rumsey_verniquet/10110055.jp2.points,rumsey_verniquet_54,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305681~90076057,output/rumsey_verniquet/10110055.json,
10110056,RUMSEY~8~1~305682~90076056,rumsey_verniquet/10110056.jp2.points,rumsey_verniquet_55,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305682~90076056,output/rumsey_verniquet/10110056.json,
10110057,RUMSEY~8~1~305683~90076055,rumsey_verniquet/10110057.jp2.points,rumsey_verniquet_56,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305683~90076055,output/rumsey_verniquet/10110057.json,
10110058,RUMSEY~8~1~305684~90076054,rumsey_verniquet/10110058.jp2.points,rumsey_verniquet_57,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305684~90076054,output/rumsey_verniquet/10110058.json,
10110059,RUMSEY~8~1~305685~90076053,rumsey_verniquet/10110059.jp2.points,rumsey_verniquet_58,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305685~90076053,output/rumsey_verniquet/10110059.json,
10110060,RUMSEY~8~1~305686~90076052,rumsey_verniquet/10110060.jp2.points,rumsey_verniquet_59,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305686~90076052,output/rumsey_verniquet/10110060.json,
